AudioName,TrueLabel,PredLabel
a063_140_150,car,train
a063_40_50,car,tram
a063_50_60,car,train
a132_50_60,car,forest_path
a132_40_50,car,library
a132_30_40,car,tram
a117_20_30,car,residential_area
a117_150_160,car,residential_area
a123_210_220,city_center,residential_area
a124_170_180,city_center,residential_area
a124_100_110,city_center,cafe/restaurant
a067_30_40,forest_path,residential_area
a067_50_60,forest_path,residential_area
a067_20_30,forest_path,residential_area
a067_0_10,forest_path,residential_area
a067_10_20,forest_path,park
a067_80_90,forest_path,park
a067_60_70,forest_path,residential_area
a067_70_80,forest_path,park
a067_100_110,forest_path,residential_area
a067_90_100,forest_path,park
a056_90_100,forest_path,park
a042_113_123,forest_path,city_center
a041_65_75,forest_path,city_center
b102_100_110,grocery_store,metro_station
a115_20_30,grocery_store,cafe/restaurant
a115_0_10,grocery_store,cafe/restaurant
a115_130_140,grocery_store,metro_station
a115_120_130,grocery_store,train
a115_30_40,grocery_store,library
a115_50_60,grocery_store,metro_station
a115_170_180,grocery_store,cafe/restaurant
a114_140_150,grocery_store,city_center
a114_110_120,grocery_store,city_center
a114_20_30,grocery_store,cafe/restaurant
a114_0_10,grocery_store,cafe/restaurant
a033_160_170,home,tram
a037_170_180,home,cafe/restaurant
a037_110_120,home,beach
a037_60_70,home,library
b043_290_300,home,library
b043_280_290,home,library
b043_250_260,home,library
b043_230_240,home,library
b043_210_220,home,library
b043_150_160,home,library
b043_170_180,home,library
b043_130_140,home,library
b043_120_130,home,train
b043_140_150,home,library
b043_70_80,home,library
a143_160_170,library,home
a143_150_160,library,forest_path
a143_30_40,library,cafe/restaurant
a143_50_60,library,home
a143_70_80,library,home
a143_60_70,library,forest_path
a143_90_100,library,cafe/restaurant
a143_100_110,library,home
a143_200_210,library,beach
a143_190_200,library,forest_path
a143_180_190,library,cafe/restaurant
a143_20_30,library,home
a143_0_10,library,forest_path
a143_10_20,library,forest_path
a143_220_230,library,residential_area
a143_230_240,library,forest_path
a143_120_130,library,forest_path
a143_130_140,library,home
a143_140_150,library,cafe/restaurant
b040_210_220,library,residential_area
b040_30_40,library,home
b026_120_130,library,cafe/restaurant
b074_20_30,metro_station,library
b070_180_190,metro_station,grocery_store
b070_0_10,metro_station,city_center
a119_180_190,office,home
a100_260_270,office,home
a004_40_50,park,metro_station
a004_50_60,park,residential_area
a004_100_110,park,metro_station
a004_110_120,park,residential_area
a004_0_10,park,train
a004_10_20,park,residential_area
a004_20_30,park,residential_area
a004_80_90,park,train
a004_60_70,park,beach
a028_150_160,park,forest_path
a028_10_20,park,residential_area
a028_90_100,park,forest_path
a028_100_110,park,forest_path
a028_110_120,park,forest_path
b017_130_140,park,forest_path
b017_140_150,park,residential_area
b017_0_10,park,residential_area
b017_170_180,park,residential_area
b013_30_40,park,residential_area
b013_80_90,park,residential_area
b024_160_170,park,residential_area
b024_80_90,park,residential_area
b024_190_200,park,beach
a013_50_60,residential_area,cafe/restaurant
a008_170_180,residential_area,park
a008_40_50,residential_area,park
a008_30_40,residential_area,park
a008_50_60,residential_area,bus
a008_0_10,residential_area,park
a008_10_20,residential_area,park
b002_70_80,residential_area,beach
b002_80_90,residential_area,park
b002_170_180,residential_area,beach
b002_150_160,residential_area,park
b002_140_150,residential_area,park
b002_130_140,residential_area,beach
b002_90_100,residential_area,beach
b002_100_110,residential_area,beach
a011_40_50,residential_area,forest_path
a011_10_20,residential_area,beach
a011_0_10,residential_area,metro_station
a011_60_70,residential_area,park
a011_160_170,residential_area,park
a011_150_160,residential_area,city_center
a002_50_60,residential_area,beach
a002_120_130,residential_area,beach
a002_0_10,residential_area,park
a146_290_300,train,tram
a146_270_280,train,cafe/restaurant
a146_280_290,train,tram
a146_60_70,train,cafe/restaurant
a146_80_90,train,home
a146_70_80,train,park
a146_120_130,train,residential_area
a146_130_140,train,tram
a146_140_150,train,residential_area
a146_260_270,train,tram
a146_240_250,train,library
a146_250_260,train,grocery_store
a146_220_230,train,tram
a146_230_240,train,tram
a146_210_220,train,tram
a090_110_120,train,tram
a090_130_140,train,cafe/restaurant
a090_120_130,train,tram
a090_140_150,train,cafe/restaurant
a090_190_200,train,cafe/restaurant
a090_180_190,train,tram
a090_150_160,train,cafe/restaurant
a090_160_170,train,bus
a090_170_180,train,cafe/restaurant
b066_219_229,train,tram
b066_199_209,train,tram
b066_209_219,train,tram
b066_100_110,train,tram
b066_110_120,train,tram
b066_120_130,train,tram
b066_30_40,train,library
b063_20_30,train,park
b063_70_80,train,library
b063_60_70,train,tram
b063_130_140,train,tram
b063_140_150,train,library
b063_120_130,train,tram
b077_130_140,tram,park
a147_80_90,tram,beach
b076_0_10,tram,train
